altitude,mach_number
35012,776
15598,564
05677,426
17803,570
36998,761
22994,646
13948,521
09164,446
02593,276
13008,478
06146,421
14543,560
12920,569
02130,307
18480,636
36968,780
08056,437
01197,217
16252,599
28994,700
18190,588
09026,443
00414,203
20454,651
31575,780
35005,777
36973,804
14162,600
05528,304
14932,586
38986,740
25668,660
11278,494
05000,368
20343,639
06330,357
03437,281
20979,669
28741,778
39003,784
37000,781
19934,688
12108,558
01762,331
14767,594
35780,773
16324,431
04304,328
16785,624
26298,750
37024,785
14048,570
18179,612
16461,649
08759,442
01405,213
19487,583
31982,800
39026,786
38999,786
17778,622
06571,423
00559,193
18804,648
32045,786
38957,782
13283,483
05900,421
22978,675
12600,476
03096,308
15587,591
20311,675
06079,424
01544,281
16681,619
28556,783
24109,705
08861,447
03369,400
17155,616
31196,799
38999,773
38990,768
20492,659
10446,417
03924,344
37009,784
32421,745
25614,680
15566,562
05810,352
15621,607
36999,805
21141,705
11086,391
02927,272
13880,663
36972,780
36985,783
29230,766
14802,593
00447,208
37006,785
36989,785
13255,481
06247,423
29284,779
16233,521
00424,196
20709,652
31336,790
23644,705
14775,628
03406,406
16808,618
35994,788
36003,787
12451,480
01584,271
16453,603
36988,785
12593,475
03433,309
17078,621
29497,778
,
,
21148,699
05425,420
15659,607
17038,615
03614,347
37002,787
15000,552
03757,409
19650,626
37008,785
38003,785
,
,
36968,788
23718,648
12263,472
04881,331
00656,199
19015,594
36986,786
09760,456
02223,321
15940,507
12610,450
05499,348
00088,198
22491,691
34955,758
35975,771
21902,638
05798,423
16736,617
29411,769
14739,590
08737,442
01752,332
15808,608
27916,758
17071,619
06095,390
00683,203
15201,499
36786,799
22660,706
14327,599
04293,404
15657,601
36996,783
36998,800
22843,677
14841,578
03840,409
15890,628
28896,742
36998,789
36948,781
23315,709
10899,476
01635,242
18012,634
13011,535
03822,400
16996,617
37004,789
36983,780
12339,564
01847,310
21727,615
35108,781
38968,787
10944,466
01892,261
16804,616
28145,773
36978,749
18148,589
02480,299
15804,529
15197,593
02860,343
00460,212
04772,282
15924,604
32776,783
19440,664
07518,436
00001,205
25326,676
22976,690
12489,473
03032,371
26769,788
15260,591
02754,403
07758,435
21673,672
13417,514
04177,341
18945,639
37004,796
34987,781
22923,728
10475,522
19305,721
04300,410
00230,190
34999,781
19521,542
15780,664
23294,731
11004,462
12088,577
34992,786
12922,608
15776,608
28775,765
16647,506
05445,414
19827,663
32210,759
12367,527
03597,352
16084,616
36973,782
35002,783
34989,783
37544,773
36991,782
20377,637
10176,467
15899,605
34963,737
34947,740
24976,720
01820,277
17008,611
21146,641
12864,523
18881,582
36982,786
21926,729
08390,444
01538,198
16092,608
27633,789
05550,324
00747,211
37019,787
32086,768
05594,416
00482,212
18982,646
35910,783
18357,689
08491,441
01907,285
17150,683
35015,785
13532,525
05891,420
17050,665
34998,800
35002,800
28586,721
18940,639
04554,292
26598,753
13848,534
09002,444
00714,199
17430,629
22747,727
12951,535
05340,347
16327,689
36181,784
26779,715
18058,605
04740,407
00376,210
18160,632
25242,717
14608,592
04884,420
13576,614
28814,671
34974,784
23184,641
13243,526
05255,422
15959,604
28343,764
37005,784
02208,285
17241,634
26733,729
08460,438
00303,207
18613,647
23151,662
13567,543
06832,395
26465,687
10845,459
03776,353
30002,742
14986,592
03881,352
19287,654
14269,490
17944,623
32124,742
13332,530
02931,303
13024,531
05601,348
00802,214
14489,570
10119,454
02157,281
19157,654
06726,423
15991,612
30698,758
05760,418
02243,254
13833,527
36000,783
36995,778
12853,544
02847,399
20279,550
17874,524
08106,437
18893,641
07610,431
01880,253
15986,520
15680,627
03939,405
21180,557
05867,368
35997,779
18442,630
12787,550
03787,366
20613,662
09824,452
01435,323
14847,542
08707,439
34990,781
35977,777
36008,758
03819,405
09370,493
00829,212
16270,514
